player,score
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'Phongcu']","[0, 3, 6, 7]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'random']","[0, 4, 7, 12]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'random']","[0, 3, 5, 10]"
"['M_Anh', 'PhongMinhAnh', 'random', 'NA_ifelse']","[0, 3, 7, 8]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'Phongcu']","[0, 1, 1, 3]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'random']","[0, 1, 1, 3]"
"['Phongcu', 'PhongMinhAnh', 'M_Anh', 'random']","[0, 1, 2, 6]"
"['PhongMinhAnh', 'random', 'NA_ifelse', 'Phongcu']","[0, 2, 7, 7]"
"['M_Anh', 'NA_ifelse', 'Hieu', 'NA_RL']","[0, 2, 4, 6]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 4, 4, 7]"
"['NA_RL', 'M_Anh', 'Hieu', 'random']","[0, 4, 6, 6]"
"['Hieu', 'M_Anh', 'NA_RL', 'Phongcu']","[0, 10, 13, 13]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 3, 3, 4]"
"['random', 'NA_ifelse', 'Hieu', 'NA_RL']","[0, 2, 3, 6]"
"['Phongcu', 'NA_ifelse', 'Hieu', 'NA_RL']","[0, 1, 7, 10]"
"['Hieu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 1, 5, 8]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'Phongcu']","[0, 1, 5, 6]"
"['Phongcu', 'Hieu', 'NA_RL', 'random']","[0, 2, 5, 6]"
"['NA_ifelse', 'NA_RL', 'M_Anh', 'PhongMinhAnh']","[0, 2, 2, 2]"
"['NA_RL', 'NA_ifelse', 'M_Anh', 'random']","[0, 3, 6, 7]"
"['Phongcu', 'NA_RL', 'NA_ifelse', 'M_Anh']","[0, 6, 9, 10]"
"['PhongMinhAnh', 'NA_RL', 'M_Anh', 'random']","[0, 1, 5, 5]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'NA_RL']","[0, 3, 4, 9]"
"['M_Anh', 'Phongcu', 'NA_RL', 'random']","[0, 2, 4, 7]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 3, 5, 6]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 1, 2, 4]"
"['NA_RL', 'Phongcu', 'NA_ifelse', 'random']","[0, 2, 3, 6]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'random']","[0, 3, 6, 6]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'M_Anh']","[0, 4, 4, 8]"
"['M_Anh', 'NA_ifelse', 'Hieu', 'random']","[0, 9, 12, 12]"
"['M_Anh', 'NA_ifelse', 'Phongcu', 'Hieu']","[0, 1, 5, 9]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'random']","[0, 3, 3, 6]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'Phongcu']","[0, 1, 1, 6]"
"['Phongcu', 'random', 'Hieu', 'M_Anh']","[0, 1, 2, 2]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 1, 2, 3]"
"['NA_ifelse', 'Hieu', 'PhongMinhAnh', 'Phongcu']","[0, 1, 3, 7]"
"['NA_ifelse', 'Hieu', 'Phongcu', 'random']","[0, 1, 2, 4]"
"['PhongMinhAnh', 'Phongcu', 'Hieu', 'random']","[0, 1, 3, 8]"
"['M_Anh', 'PhongMinhAnh', 'random', 'NA_ifelse']","[0, 2, 3, 9]"
"['PhongMinhAnh', 'M_Anh', 'NA_ifelse', 'Phongcu']","[0, 2, 4, 8]"
"['Phongcu', 'NA_ifelse', 'M_Anh', 'random']","[0, 1, 2, 5]"
"['Phongcu', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 4, 7, 8]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 3, 6, 6]"
"['NA_ifelse', 'Hieu', 'NA_RL', 'M_Anh']","[0, 3, 9, 10]"
"['NA_RL', 'PhongMinhAnh', 'Hieu', 'M_Anh']","[0, 1, 2, 2]"
"['Hieu', 'M_Anh', 'random', 'NA_RL']","[0, 8, 8, 10]"
"['Hieu', 'M_Anh', 'NA_RL', 'Phongcu']","[0, 1, 2, 2]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'NA_RL']","[0, 5, 9, 11]"
"['Hieu', 'NA_ifelse', 'NA_RL', 'random']","[0, 2, 4, 8]"
"['Hieu', 'Phongcu', 'NA_RL', 'NA_ifelse']","[0, 1, 5, 8]"
"['random', 'PhongMinhAnh', 'Hieu', 'NA_RL']","[0, 2, 5, 7]"
"['Hieu', 'PhongMinhAnh', 'Phongcu', 'NA_RL']","[0, 1, 2, 4]"
"['Hieu', 'Phongcu', 'NA_RL', 'random']","[0, 3, 4, 7]"
"['PhongMinhAnh', 'NA_ifelse', 'M_Anh', 'NA_RL']","[0, 1, 3, 4]"
"['NA_ifelse', 'M_Anh', 'NA_RL', 'random']","[0, 4, 7, 12]"
"['Phongcu', 'NA_RL', 'M_Anh', 'NA_ifelse']","[0, 11, 11, 11]"
"['M_Anh', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 2, 8, 9]"
"['Phongcu', 'PhongMinhAnh', 'M_Anh', 'NA_RL']","[0, 1, 6, 9]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 4, 5, 5]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 6, 7, 9]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 2, 2, 6]"
"['Phongcu', 'NA_ifelse', 'random', 'NA_RL']","[0, 1, 7, 9]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 1, 4, 8]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 2, 3]"
"['Hieu', 'NA_ifelse', 'M_Anh', 'random']","[0, 1, 3, 4]"
"['M_Anh', 'Phongcu', 'NA_ifelse', 'Hieu']","[0, 2, 5, 6]"
"['Hieu', 'random', 'M_Anh', 'PhongMinhAnh']","[0, 7, 9, 10]"
"['M_Anh', 'Phongcu', 'Hieu', 'PhongMinhAnh']","[0, 1, 5, 6]"
"['Phongcu', 'Hieu', 'M_Anh', 'random']","[0, 10, 10, 11]"
"['PhongMinhAnh', 'Hieu', 'NA_ifelse', 'random']","[0, 1, 2, 3]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'Phongcu']","[0, 5, 6, 6]"
"['Phongcu', 'Hieu', 'random', 'NA_ifelse']","[0, 4, 5, 8]"
"['PhongMinhAnh', 'Phongcu', 'Hieu', 'random']","[0, 1, 3, 5]"
"['PhongMinhAnh', 'random', 'NA_ifelse', 'M_Anh']","[0, 2, 3, 5]"
"['Phongcu', 'M_Anh', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 2, 4]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'random']","[0, 1, 3, 7]"
"['PhongMinhAnh', 'M_Anh', 'random', 'Phongcu']","[0, 2, 7, 9]"
"['NA_ifelse', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 5, 9, 12]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'NA_RL']","[0, 2, 3, 6]"
"['M_Anh', 'NA_RL', 'PhongMinhAnh', 'Hieu']","[0, 6, 6, 13]"
"['M_Anh', 'Hieu', 'random', 'NA_RL']","[0, 1, 5, 7]"
"['Hieu', 'Phongcu', 'M_Anh', 'NA_RL']","[0, 2, 3, 11]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 3, 4, 8]"
"['NA_ifelse', 'Hieu', 'NA_RL', 'random']","[0, 1, 3, 5]"
"['Hieu', 'Phongcu', 'NA_ifelse', 'NA_RL']","[0, 3, 5, 6]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 3, 9]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'Phongcu']","[0, 2, 5, 6]"
"['Hieu', 'NA_RL', 'random', 'Phongcu']","[0, 11, 12, 12]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'NA_ifelse']","[0, 3, 4, 11]"
"['NA_ifelse', 'M_Anh', 'NA_RL', 'random']","[0, 2, 3, 8]"
"['NA_RL', 'M_Anh', 'Phongcu', 'NA_ifelse']","[0, 2, 3, 5]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 2, 5]"
"['PhongMinhAnh', 'Phongcu', 'M_Anh', 'NA_RL']","[0, 5, 6, 7]"
"['M_Anh', 'NA_RL', 'random', 'Phongcu']","[0, 2, 4, 4]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 1, 3, 5]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 1, 3, 6]"
"['NA_ifelse', 'NA_RL', 'random', 'Phongcu']","[0, 2, 9, 9]"
"['Phongcu', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 1, 4, 5]"
"['PhongMinhAnh', 'NA_ifelse', 'Hieu', 'M_Anh']","[0, 1, 2, 2]"
"['Hieu', 'M_Anh', 'random', 'NA_ifelse']","[0, 5, 7, 8]"
"['NA_ifelse', 'Hieu', 'Phongcu', 'M_Anh']","[0, 1, 3, 5]"
"['M_Anh', 'PhongMinhAnh', 'Hieu', 'random']","[0, 5, 6, 9]"
"['Phongcu', 'PhongMinhAnh', 'M_Anh', 'Hieu']","[0, 7, 10, 11]"
"['Phongcu', 'Hieu', 'M_Anh', 'random']","[0, 3, 3, 4]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 1, 2, 10]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'Phongcu']","[0, 2, 3, 7]"
"['Hieu', 'NA_ifelse', 'random', 'Phongcu']","[0, 3, 8, 8]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'random']","[0, 2, 3, 5]"
"['PhongMinhAnh', 'M_Anh', 'NA_ifelse', 'random']","[0, 1, 2, 5]"
"['Phongcu', 'NA_ifelse', 'M_Anh', 'PhongMinhAnh']","[0, 1, 6, 7]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'random']","[0, 6, 8, 11]"
"['Phongcu', 'PhongMinhAnh', 'M_Anh', 'random']","[0, 3, 4, 10]"
"['PhongMinhAnh', 'NA_ifelse', 'Phongcu', 'random']","[0, 3, 6, 13]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'NA_RL']","[0, 1, 3, 7]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 1, 5, 8]"
"['Hieu', 'M_Anh', 'NA_RL', 'random']","[0, 3, 4, 6]"
"['Hieu', 'Phongcu', 'M_Anh', 'NA_RL']","[0, 2, 4, 5]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'NA_ifelse']","[0, 2, 2, 3]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'random']","[0, 4, 5, 7]"
"['NA_ifelse', 'Hieu', 'Phongcu', 'NA_RL']","[0, 3, 6, 9]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 4, 7, 11]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 3, 11, 12]"
"['Phongcu', 'Hieu', 'random', 'NA_RL']","[0, 2, 3, 6]"
"['PhongMinhAnh', 'NA_RL', 'NA_ifelse', 'M_Anh']","[0, 2, 5, 6]"
"['NA_ifelse', 'NA_RL', 'M_Anh', 'random']","[0, 3, 3, 6]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'NA_RL']","[0, 2, 2, 5]"
"['M_Anh', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 2, 6, 9]"
"['NA_RL', 'Phongcu', 'PhongMinhAnh', 'M_Anh']","[0, 1, 2, 3]"
"['M_Anh', 'NA_RL', 'random', 'Phongcu']","[0, 6, 8, 8]"
"['PhongMinhAnh', 'NA_ifelse', 'random', 'NA_RL']","[0, 8, 9, 12]"
"['NA_RL', 'Phongcu', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 4, 7]"
"['Phongcu', 'NA_RL', 'random', 'NA_ifelse']","[0, 2, 3, 6]"
"['PhongMinhAnh', 'random', 'NA_RL', 'Phongcu']","[0, 5, 6, 8]"
"['NA_ifelse', 'M_Anh', 'Hieu', 'PhongMinhAnh']","[0, 2, 3, 3]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'random']","[0, 1, 5, 6]"
"['NA_ifelse', 'Hieu', 'M_Anh', 'Phongcu']","[0, 4, 4, 6]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 3, 5, 6]"
"['Hieu', 'Phongcu', 'M_Anh', 'PhongMinhAnh']","[0, 2, 4, 6]"
"['Hieu', 'M_Anh', 'Phongcu', 'random']","[0, 1, 8, 10]"
"['PhongMinhAnh', 'Hieu', 'NA_ifelse', 'random']","[0, 2, 2, 12]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'PhongMinhAnh']","[0, 1, 1, 2]"
"['Hieu', 'Phongcu', 'NA_ifelse', 'random']","[0, 3, 7, 7]"
"['Hieu', 'Phongcu', 'PhongMinhAnh', 'random']","[0, 1, 3, 5]"
"['PhongMinhAnh', 'NA_ifelse', 'M_Anh', 'random']","[0, 1, 2, 2]"
"['NA_ifelse', 'M_Anh', 'PhongMinhAnh', 'Phongcu']","[0, 2, 4, 7]"
"['M_Anh', 'NA_ifelse', 'Phongcu', 'random']","[0, 4, 5, 10]"
"['PhongMinhAnh', 'M_Anh', 'Phongcu', 'random']","[0, 3, 4, 8]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_ifelse']","[0, 4, 4, 5]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'NA_RL']","[0, 4, 8, 9]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 5]"
"['Hieu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 2, 5]"
"['Hieu', 'M_Anh', 'Phongcu', 'NA_RL']","[0, 3, 5, 6]"
"['NA_ifelse', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 5]"
"['Hieu', 'NA_ifelse', 'NA_RL', 'random']","[0, 1, 2, 10]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 1, 1, 6]"
"['PhongMinhAnh', 'NA_RL', 'Hieu', 'random']","[0, 2, 3, 10]"
"['Phongcu', 'Hieu', 'NA_RL', 'PhongMinhAnh']","[0, 3, 6, 13]"
"['Phongcu', 'Hieu', 'random', 'NA_RL']","[0, 3, 12, 13]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'M_Anh']","[0, 1, 7, 7]"
"['NA_ifelse', 'M_Anh', 'NA_RL', 'random']","[0, 1, 4, 6]"
"['M_Anh', 'NA_RL', 'Phongcu', 'NA_ifelse']","[0, 2, 3, 6]"
"['NA_RL', 'PhongMinhAnh', 'M_Anh', 'random']","[0, 2, 8, 13]"
"['Phongcu', 'NA_RL', 'M_Anh', 'PhongMinhAnh']","[0, 2, 2, 3]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 6, 10, 13]"
"['NA_ifelse', 'NA_RL', 'random', 'PhongMinhAnh']","[0, 3, 4, 5]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 4, 7, 8]"
"['Phongcu', 'NA_ifelse', 'random', 'NA_RL']","[0, 1, 4, 8]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'random']","[0, 1, 3, 6]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'M_Anh']","[0, 1, 1, 2]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'random']","[0, 4, 8, 8]"
"['Hieu', 'Phongcu', 'M_Anh', 'NA_ifelse']","[0, 1, 3, 5]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'random']","[0, 4, 4, 10]"
"['Hieu', 'M_Anh', 'Phongcu', 'PhongMinhAnh']","[0, 1, 2, 5]"
"['Hieu', 'M_Anh', 'random', 'Phongcu']","[0, 2, 8, 8]"
"['NA_ifelse', 'Hieu', 'random', 'PhongMinhAnh']","[0, 1, 2, 3]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'Hieu']","[0, 1, 7, 8]"
"['NA_ifelse', 'Hieu', 'random', 'Phongcu']","[0, 2, 2, 2]"
"['PhongMinhAnh', 'random', 'Hieu', 'Phongcu']","[0, 3, 4, 4]"
"['NA_ifelse', 'PhongMinhAnh', 'M_Anh', 'random']","[0, 1, 4, 13]"
"['Phongcu', 'M_Anh', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 3, 4]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'random']","[0, 3, 3, 4]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 2, 3, 5]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_ifelse']","[0, 2, 3, 4]"
"['Hieu', 'NA_ifelse', 'NA_RL', 'M_Anh']","[0, 2, 7, 7]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'NA_RL']","[0, 1, 3, 7]"
"['M_Anh', 'Hieu', 'NA_RL', 'random']","[0, 1, 4, 5]"
"['M_Anh', 'Hieu', 'NA_RL', 'Phongcu']","[0, 1, 3, 3]"
"['NA_ifelse', 'NA_RL', 'Hieu', 'PhongMinhAnh']","[0, 1, 3, 3]"
"['Hieu', 'NA_ifelse', 'NA_RL', 'random']","[0, 2, 4, 6]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'NA_RL']","[0, 2, 2, 5]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 2, 2]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 6]"
"['Phongcu', 'NA_RL', 'random', 'Hieu']","[0, 6, 7, 8]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 2, 6, 8]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'random']","[0, 2, 5, 8]"
"['M_Anh', 'NA_RL', 'Phongcu', 'NA_ifelse']","[0, 6, 9, 10]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'random']","[0, 4, 5, 8]"
"['M_Anh', 'NA_RL', 'Phongcu', 'PhongMinhAnh']","[0, 2, 2, 6]"
"['NA_RL', 'M_Anh', 'Phongcu', 'random']","[0, 1, 3, 10]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 1, 3, 4]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 1, 3, 3]"
"['Phongcu', 'NA_ifelse', 'random', 'NA_RL']","[0, 3, 5, 8]"
"['PhongMinhAnh', 'NA_RL', 'Phongcu', 'random']","[0, 4, 6, 8]"
"['PhongMinhAnh', 'NA_ifelse', 'Hieu', 'M_Anh']","[0, 2, 3, 10]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'random']","[0, 1, 3, 9]"
"['Phongcu', 'NA_ifelse', 'M_Anh', 'Hieu']","[0, 1, 4, 6]"
"['Hieu', 'PhongMinhAnh', 'M_Anh', 'random']","[0, 7, 10, 10]"
"['Hieu', 'M_Anh', 'Phongcu', 'PhongMinhAnh']","[0, 2, 2, 6]"
"['Hieu', 'Phongcu', 'M_Anh', 'random']","[0, 2, 8, 11]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 2, 4, 11]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'Phongcu']","[0, 9, 12, 13]"
"['NA_ifelse', 'Hieu', 'Phongcu', 'random']","[0, 3, 3, 4]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'random']","[0, 2, 4, 4]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 7, 13, 13]"
"['Phongcu', 'NA_ifelse', 'M_Anh', 'PhongMinhAnh']","[0, 1, 3, 4]"
"['M_Anh', 'Phongcu', 'NA_ifelse', 'random']","[0, 1, 3, 5]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 4, 4, 6]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_ifelse']","[0, 7, 7, 10]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'NA_RL']","[0, 2, 5, 10]"
"['NA_RL', 'PhongMinhAnh', 'Hieu', 'M_Anh']","[0, 4, 6, 8]"
"['Hieu', 'M_Anh', 'random', 'NA_RL']","[0, 2, 4, 5]"
"['Phongcu', 'NA_RL', 'Hieu', 'M_Anh']","[0, 7, 9, 11]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 1, 7, 7]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'random']","[0, 3, 4, 4]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'Phongcu']","[0, 8, 8, 10]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 6, 6]"
"['Hieu', 'NA_RL', 'Phongcu', 'PhongMinhAnh']","[0, 7, 9, 10]"
"['Phongcu', 'Hieu', 'random', 'NA_RL']","[0, 2, 5, 12]"
"['NA_ifelse', 'M_Anh', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 3]"
"['random', 'NA_ifelse', 'M_Anh', 'NA_RL']","[0, 1, 4, 6]"
"['NA_RL', 'Phongcu', 'M_Anh', 'NA_ifelse']","[0, 1, 2, 3]"
"['M_Anh', 'NA_RL', 'random', 'PhongMinhAnh']","[0, 6, 6, 7]"
"['NA_RL', 'M_Anh', 'Phongcu', 'PhongMinhAnh']","[0, 2, 4, 5]"
"['NA_RL', 'Phongcu', 'M_Anh', 'random']","[0, 2, 5, 10]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 6, 8]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'NA_RL']","[0, 4, 5, 8]"
"['Phongcu', 'NA_ifelse', 'NA_RL', 'random']","[0, 4, 6, 8]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 4, 7, 10]"
"['PhongMinhAnh', 'NA_ifelse', 'M_Anh', 'Hieu']","[0, 1, 2, 3]"
"['M_Anh', 'Hieu', 'random', 'NA_ifelse']","[0, 1, 3, 7]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_ifelse']","[0, 1, 1, 1]"
"['PhongMinhAnh', 'M_Anh', 'Hieu', 'random']","[0, 1, 4, 4]"
"['Phongcu', 'M_Anh', 'Hieu', 'PhongMinhAnh']","[0, 1, 2, 2]"
"['Hieu', 'random', 'Phongcu', 'M_Anh']","[0, 2, 3, 6]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 5, 7]"
"['Phongcu', 'PhongMinhAnh', 'Hieu', 'NA_ifelse']","[0, 2, 6, 7]"
"['Phongcu', 'random', 'NA_ifelse', 'Hieu']","[0, 1, 2, 5]"
"['Phongcu', 'Hieu', 'random', 'PhongMinhAnh']","[0, 1, 2, 4]"
"['M_Anh', 'random', 'NA_ifelse', 'PhongMinhAnh']","[0, 4, 7, 9]"
"['PhongMinhAnh', 'NA_ifelse', 'Phongcu', 'M_Anh']","[0, 2, 5, 7]"
"['M_Anh', 'NA_ifelse', 'Phongcu', 'random']","[0, 2, 3, 5]"
"['Phongcu', 'M_Anh', 'random', 'PhongMinhAnh']","[0, 1, 2, 4]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 3, 6, 6]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 1, 2, 5]"
"['PhongMinhAnh', 'M_Anh', 'Hieu', 'NA_RL']","[0, 5, 6, 9]"
"['Hieu', 'random', 'M_Anh', 'NA_RL']","[0, 3, 5, 7]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 1, 4, 5]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'PhongMinhAnh']","[0, 12, 12, 12]"
"['NA_ifelse', 'Hieu', 'NA_RL', 'random']","[0, 1, 3, 5]"
"['Phongcu', 'NA_ifelse', 'Hieu', 'NA_RL']","[0, 1, 2, 8]"
"['Hieu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 3, 9, 10]"
"['PhongMinhAnh', 'Hieu', 'Phongcu', 'NA_RL']","[0, 10, 10, 13]"
"['Phongcu', 'Hieu', 'random', 'NA_RL']","[0, 1, 1, 4]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 1, 4, 7]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'random']","[0, 1, 3, 6]"
"['Phongcu', 'M_Anh', 'NA_RL', 'NA_ifelse']","[0, 1, 3, 3]"
"['PhongMinhAnh', 'NA_RL', 'M_Anh', 'random']","[0, 2, 5, 6]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'NA_RL']","[0, 2, 2, 4]"
"['Phongcu', 'NA_RL', 'random', 'M_Anh']","[0, 1, 4, 5]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 2, 6, 7]"
"['NA_ifelse', 'Phongcu', 'PhongMinhAnh', 'NA_RL']","[0, 3, 6, 7]"
"['NA_RL', 'NA_ifelse', 'Phongcu', 'random']","[0, 2, 8, 10]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 2, 4, 10]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'NA_ifelse']","[0, 1, 1, 1]"
"['M_Anh', 'Hieu', 'random', 'NA_ifelse']","[0, 1, 2, 3]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'M_Anh']","[0, 5, 7, 10]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 1, 1, 2]"
"['Hieu', 'M_Anh', 'Phongcu', 'PhongMinhAnh']","[0, 2, 2, 3]"
"['Hieu', 'random', 'M_Anh', 'Phongcu']","[0, 1, 4, 4]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 5, 10]"
"['Phongcu', 'PhongMinhAnh', 'Hieu', 'NA_ifelse']","[0, 4, 8, 8]"
"['NA_ifelse', 'Hieu', 'random', 'Phongcu']","[0, 1, 2, 2]"
"['Hieu', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 2, 3, 8]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 2, 3, 8]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'Phongcu']","[0, 1, 2, 2]"
"['M_Anh', 'NA_ifelse', 'random', 'Phongcu']","[0, 6, 8, 8]"
"['Phongcu', 'PhongMinhAnh', 'random', 'M_Anh']","[0, 1, 1, 2]"
"['PhongMinhAnh', 'NA_ifelse', 'random', 'Phongcu']","[0, 2, 2, 7]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'NA_RL']","[0, 1, 1, 4]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'NA_RL']","[0, 5, 6, 11]"
"['M_Anh', 'Hieu', 'NA_RL', 'random']","[0, 2, 4, 10]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 1, 4, 10]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 3, 5, 7]"
"['NA_RL', 'NA_ifelse', 'Hieu', 'random']","[0, 1, 2, 2]"
