player,score
"['PhongMinhAnh', 'NA_ifelse', 'Hieu', 'NA_RL']","[0, 1, 2, 8]"
"['NA_ifelse', 'random', 'Hieu', 'NA_RL']","[0, 1, 3, 11]"
"['NA_ifelse', 'Hieu', 'Phongcu', 'NA_RL']","[0, 1, 3, 4]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 4, 5, 7]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 5]"
"['Hieu', 'Phongcu', 'random', 'NA_RL']","[0, 3, 5, 7]"
"['M_Anh', 'PhongMinhAnh', 'NA_ifelse', 'NA_RL']","[0, 1, 2, 4]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'random']","[0, 1, 3, 4]"
"['M_Anh', 'NA_RL', 'Phongcu', 'NA_ifelse']","[0, 3, 4, 5]"
"['PhongMinhAnh', 'random', 'M_Anh', 'NA_RL']","[0, 5, 6, 10]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'M_Anh']","[0, 2, 4, 4]"
"['Phongcu', 'random', 'NA_RL', 'M_Anh']","[0, 3, 5, 6]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 2, 2, 3]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'NA_RL']","[0, 1, 5, 6]"
"['NA_ifelse', 'NA_RL', 'random', 'Phongcu']","[0, 3, 8, 8]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 1, 6, 7]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'M_Anh']","[0, 5, 8, 10]"
"['Hieu', 'NA_ifelse', 'random', 'M_Anh']","[0, 1, 4, 5]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'Phongcu']","[0, 3, 8, 10]"
"['M_Anh', 'Hieu', 'random', 'PhongMinhAnh']","[0, 2, 6, 7]"
"['Hieu', 'Phongcu', 'M_Anh', 'PhongMinhAnh']","[0, 3, 4, 5]"
"['Hieu', 'random', 'Phongcu', 'M_Anh']","[0, 5, 9, 10]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 1, 2, 5]"
"['NA_ifelse', 'Hieu', 'PhongMinhAnh', 'Phongcu']","[0, 2, 3, 3]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'random']","[0, 4, 4, 5]"
"['Hieu', 'random', 'Phongcu', 'PhongMinhAnh']","[0, 1, 1, 7]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 1, 5]"
"['Phongcu', 'M_Anh', 'PhongMinhAnh', 'NA_ifelse']","[0, 2, 2, 3]"
"['Phongcu', 'random', 'M_Anh', 'NA_ifelse']","[0, 1, 2, 2]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 1, 1, 8]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 1, 1]"
"['M_Anh', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 1, 2, 2]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 4]"
"['M_Anh', 'Hieu', 'NA_RL', 'random']","[0, 7, 10, 13]"
"['Phongcu', 'NA_RL', 'Hieu', 'M_Anh']","[0, 2, 2, 4]"
"['PhongMinhAnh', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 1, 2, 8]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 4, 9, 10]"
"['Hieu', 'NA_ifelse', 'Phongcu', 'NA_RL']","[0, 3, 3, 9]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 4, 5, 9]"
"['Phongcu', 'NA_RL', 'Hieu', 'PhongMinhAnh']","[0, 3, 4, 5]"
"['Hieu', 'random', 'Phongcu', 'NA_RL']","[0, 4, 4, 5]"
"['NA_ifelse', 'M_Anh', 'NA_RL', 'PhongMinhAnh']","[0, 3, 5, 5]"
"['NA_ifelse', 'NA_RL', 'M_Anh', 'random']","[0, 4, 6, 8]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'NA_RL']","[0, 2, 2, 3]"
"['PhongMinhAnh', 'NA_RL', 'M_Anh', 'random']","[0, 1, 2, 2]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'M_Anh']","[0, 1, 2, 2]"
"['Phongcu', 'random', 'M_Anh', 'NA_RL']","[0, 2, 3, 4]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 3, 8]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'Phongcu']","[0, 3, 5, 10]"
"['NA_ifelse', 'Phongcu', 'NA_RL', 'random']","[0, 2, 6, 6]"
"['Phongcu', 'random', 'NA_RL', 'PhongMinhAnh']","[0, 2, 5, 5]"
"['NA_ifelse', 'M_Anh', 'Hieu', 'PhongMinhAnh']","[0, 4, 8, 8]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'random']","[0, 2, 2, 5]"
"['Hieu', 'Phongcu', 'M_Anh', 'NA_ifelse']","[0, 5, 6, 8]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'random']","[0, 4, 5, 5]"
"['PhongMinhAnh', 'Hieu', 'Phongcu', 'M_Anh']","[0, 1, 1, 2]"
"['Hieu', 'Phongcu', 'M_Anh', 'random']","[0, 2, 7, 7]"
"['PhongMinhAnh', 'Hieu', 'NA_ifelse', 'random']","[0, 1, 2, 5]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'PhongMinhAnh']","[0, 1, 1, 4]"
"['Phongcu', 'Hieu', 'random', 'NA_ifelse']","[0, 1, 1, 2]"
"['PhongMinhAnh', 'Hieu', 'random', 'Phongcu']","[0, 2, 2, 7]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'M_Anh']","[0, 2, 8, 9]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'M_Anh']","[0, 1, 2, 5]"
"['M_Anh', 'Phongcu', 'NA_ifelse', 'random']","[0, 1, 9, 12]"
